,device_name,assetnum,location,gmtoolno,description,gmassettype,gmstation,gmmaintainer,gmmecenter,status,siteid,manufacturer,zone,sub_zone,station_number,item,item_number,process,process_number,plant_group,plant_group_number,provided_by
222,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F212918,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F212918,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
223,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F211546,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F211546,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
224,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F213331,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F213331,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
225,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F215455,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F215455,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
226,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F214949,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F214949,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
227,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F213299,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F213299,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
228,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F211353,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F211353,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
229,AD002R01B05,9.00001E+11,BS.AD.STA.002,F346229_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F346229,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
230,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F211947,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F211947,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
231,AD003R01B05,9.00001E+11,BS.AD.STA.003,F343559_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F343559,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
232,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F215986,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F215986,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
233,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F213637,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F213637,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
234,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F212298,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F212298,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
235,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F212437,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F212437,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
236,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F210542,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F210542,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
237,AD004R01B05,9.00001E+11,BS.AD.STA.004,F346071_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F346071,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
238,AD002R01B05,9.00001E+11,BS.AD.STA.002,F347350_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F347350,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
239,AD004R01B05,9.00001E+11,BS.AD.STA.004,F346079_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F346079,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
240,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F214048,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F214048,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
241,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F213424,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F213424,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
242,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F212324,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F212324,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
243,AD004R01B05,9.00001E+11,BS.AD.STA.004,F346323_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F346323,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
244,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F216127,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F216127,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
245,AD004R01B05,9.00001E+11,BS.AD.STA.004,F344405_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F344405,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
