,id,name,description_box,equipment_catalog_id,location_address,plant_id,host_name,device_name_box,data_source,equipment_type,plc,program,equipment_name
502,d0366288-0441-495e-9230-312c3f81d3c7,AB030R02B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R02,AB030R02B05,DCDL,Robot,,,
503,d8e813c3-1b51-4ef6-bc51-a5eaf386c0f6,AB040R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB040-R01,AB040R01B05,DCDL,Robot,,,
504,cb2ffbda-8acd-407e-8fed-864c0ba083de,AB040R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB040-R01,AB040R01B05,DCDL,Robot,,,
505,f5fd8d36-1a7d-4793-a0e4-f8016ad12c14,AD002R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
506,9de7bded-2399-4359-981c-d6401ebb0589,AB040R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB040-R01,AB040R01B05,DCDL,Robot,,,
507,63ad66ff-91ad-4392-83ba-762b1fa1ff7d,AB030R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB030-R01,AB030R01B05,DCDL,Robot,,,
508,3da28bce-c02b-451e-a764-6b14ff34a037,AD002R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
509,4971a4e4-b00a-449a-a8bc-f5a2911157f1,AD002R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AD002-R01,AD002R01B05,DCDL,Robot,,,
510,feb1e159-c48a-4e2f-83c7-6ca882238795,AB020R01B05,Robot Fanuc Global,87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB020-R01,AB020R01B05,DCDL,Robot,,,
511,57fed9d5-87fc-460f-8770-91ae3038da39,AB010R02B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R02,AB010R02B05,DCDL,Robot,,,
512,b9b53f94-bd1f-46ac-b8b6-ad276412aacc,AB010R01B05,Robot Fanuc Global (W/Vision),87d3639e-4380-49c1-bba0-f051099e14f6,ARL.B1,ARL,ARB-05AB010-R01,AB010R01B05,DCDL,Robot,,,
